epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
102,15898.5,1.16475,0.98386,1.33777,0.62671,0.63148,0.57413,0.39298,1.102,0.69431,1.37332,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225,0.0149167,0.00497225
103,16053.9,1.15746,0.9767,1.3295,0.62829,0.63341,0.57464,0.39355,1.09972,0.69242,1.3713,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452,0.0146836,0.00489452
104,16205.8,1.15441,0.96756,1.32814,0.62477,0.6335,0.57524,0.39441,1.09753,0.6907,1.36895,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682,0.0144505,0.00481682
105,16360.3,1.14515,0.96931,1.32522,0.6314,0.63037,0.57636,0.39498,1.09613,0.68893,1.36749,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
106,16510.9,1.15152,0.97177,1.32821,0.63242,0.63124,0.57954,0.39571,1.09407,0.68746,1.3655,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163,0.0139849,0.00466163
107,16665.4,1.14099,0.96559,1.32713,0.63422,0.6282,0.58068,0.39653,1.0923,0.68597,1.36389,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
108,16818.1,1.14152,0.95433,1.32381,0.64587,0.62091,0.58109,0.3967,1.09095,0.68383,1.36229,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682,0.0135204,0.00450682
109,16969.6,1.1398,0.95507,1.32126,0.6558,0.61739,0.58151,0.39708,1.0894,0.68209,1.36077,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
110,17127,1.13311,0.95264,1.31865,0.65809,0.61679,0.58216,0.39814,1.08716,0.68063,1.35865,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254,0.0130576,0.00435254
111,17281.5,1.13461,0.95884,1.31988,0.66153,0.61638,0.58255,0.39883,1.0852,0.67837,1.35695,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
112,17437.8,1.12736,0.93019,1.30924,0.65508,0.61748,0.58258,0.39928,1.08364,0.67636,1.35513,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895,0.0125969,0.00419895
113,17588.8,1.13518,0.9478,1.31982,0.65279,0.6194,0.58326,0.40013,1.08187,0.67434,1.35313,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
114,17745.5,1.12488,0.93961,1.31433,0.65267,0.61936,0.58356,0.40026,1.08022,0.67248,1.35151,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462,0.0121386,0.0040462
115,17898.4,1.12863,0.93724,1.31225,0.65527,0.61862,0.58367,0.40061,1.07856,0.6704,1.34978,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
116,18052.5,1.11773,0.92263,1.3045,0.65673,0.61858,0.5839,0.40113,1.07663,0.66864,1.34782,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445,0.0116833,0.00389445
117,18209.3,1.12669,0.9245,1.30933,0.64502,0.63214,0.58451,0.40158,1.0752,0.66709,1.34628,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
118,18365,1.11711,0.92901,1.3099,0.63959,0.63907,0.58576,0.402,1.07379,0.66482,1.3453,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383,0.0112315,0.00374383
119,18516.9,1.10927,0.91151,1.29617,0.63897,0.63399,0.58579,0.40243,1.0719,0.66284,1.34343,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
120,18673.8,1.11185,0.92264,1.30349,0.63974,0.63484,0.58541,0.402,1.07017,0.66083,1.34161,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945,0.0107835,0.0035945
121,18831.5,1.11078,0.91201,1.29898,0.64107,0.64678,0.58657,0.40333,1.06838,0.65848,1.33994,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
122,18990.4,1.10957,0.91633,1.29752,0.63985,0.6474,0.58753,0.40402,1.06669,0.65611,1.33842,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661,0.0103398,0.00344661
123,19147.4,1.10529,0.90535,1.29891,0.6399,0.64692,0.58926,0.4049,1.06487,0.6541,1.33669,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
124,19301.7,1.10419,0.90785,1.29267,0.6387,0.64929,0.58961,0.40584,1.06298,0.65242,1.33465,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003,0.0099009,0.0033003
125,19457.5,1.09859,0.9048,1.29291,0.61079,0.65363,0.59053,0.40695,1.06071,0.65046,1.33223,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
126,19610.6,1.09586,0.89982,1.29173,0.59354,0.65588,0.59151,0.40777,1.05805,0.64816,1.32952,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572,0.00946715,0.00315572
