epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,10051,1.10797,0.92641,1.30302,0.58797,0.65256,0.58967,0.41295,1.03157,0.63891,1.3016,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
86,10168.1,1.10066,0.90288,1.29585,0.60778,0.63884,0.58976,0.413,1.03024,0.63784,1.30083,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084,0.0120625,0.00402084
87,10283.9,1.09999,0.90885,1.29352,0.60952,0.62601,0.59071,0.41298,1.02809,0.63615,1.29897,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966,0.011759,0.00391966
88,10401.2,1.09855,0.90047,1.28764,0.61274,0.62904,0.59022,0.41337,1.0266,0.63471,1.29774,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
89,10518.4,1.09395,0.89504,1.29346,0.61084,0.62641,0.59009,0.41351,1.02525,0.63352,1.29673,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885,0.0111565,0.00371885
90,10635.9,1.09344,0.88779,1.28533,0.58113,0.6541,0.5881,0.41204,1.02343,0.63254,1.29504,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929,0.0108579,0.00361929
91,10753.8,1.08901,0.88463,1.28636,0.64451,0.59558,0.58809,0.41221,1.02251,0.63192,1.29406,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
92,10871.8,1.08535,0.8748,1.27858,0.64799,0.59776,0.5883,0.41237,1.0214,0.63089,1.29333,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211,0.0102663,0.00342211
93,10987.5,1.08286,0.87552,1.27871,0.61038,0.63338,0.58851,0.41202,1.01971,0.62912,1.29214,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457,0.00997371,0.00332457
94,11104.3,1.07706,0.87134,1.27731,0.65149,0.59804,0.58775,0.41202,1.01839,0.62735,1.29099,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
95,11222.3,1.07948,0.87757,1.27309,0.65299,0.59719,0.58907,0.41234,1.01684,0.62663,1.2897,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318,0.00939539,0.0031318
96,11340.6,1.07115,0.86183,1.26903,0.64811,0.60591,0.58976,0.41214,1.01548,0.62563,1.28846,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665,0.00910996,0.00303665
97,11458.7,1.06843,0.86254,1.2698,0.61901,0.6315,0.59063,0.4128,1.01444,0.62449,1.2877,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
